Question,Helpful Answer
    7. Alveolite with interstitial fibrosis.,"  This is a lung condition that occurs in patients with systemic sclerosis, specifically those who test positive for anti-topoisomerase I antibodies."
    8. Immunosuppression.," 1. Insuficiência adrenal 2. Exacerbação da doença 3. Candidato à imunossupressão? Avaliar se há presença do Strongyloides stercoralis! 4. Pacientes refratários: Imunoglobulina IV Anticorpo anti -CD20 (Rituximab) 5. Gestantes: Não gestante e com SAF exclusivamente obstétrica: Anti-CD20 ( Rituximabe) Anti-IL 1 (Anakinra) Imunossupressores: Ciclosporina Ciclofosfamida Esquema terapêutico : Jéssica Nicolau - 45 - Treat to target (DAS28): O que é? Pontuação de 28 articulações (imagem ao lado), avaliando dor, Corticoide: Manejo da doença de Still AINES (1ª linha): 1ª linha de tratamento para o controle da inflamação nas demais formas de AIJ Não muda o curso da doença Imunomoduladores (2ª linha): Metotrexate Infliximab Azatioprina"
    9. Pulmonary hypertension.,"  Yes, pulmonary hypertension can occur in the form of cutaneous limited scleroderma and is characterized by fibrotic obstruction on chest CT scan. It is not treatable but supportive care can be provided."
    10. Aspecto em vidro fosco (foggy glass appearance).,  This is the appearance of the lungs on a chest x-ray in patients with scleroderma.
1. What is pulmonary hypertension associated with?," Pulmonary hypertension is associated with the cutaneous limited form of scleroderma, and it presents as fibrosis obstruction on chest imaging (TC)."
    2. What does TC stand for in the context of this text?, TC stands for Tomografia Computadorizada (Computed Tomography) in Portuguese.
    3. Is there a cure for pulmonary hypertension mentioned in the text?," No, there is no cure mentioned for pulmonary hypertension in the text."
    4. What are two types of anticorps mentioned in the diagnostic section?,  The two types of anticorps mentioned in the diagnostic section are anti-Sm and anti-RNP.
    5. What is the sensitivity of capillaroscopy of the nail bed?, The sensitivity of capillaroscopy of the nail bed is 98%.
    6. What is the recommended treatment for Raynaud's phenomenon?, The recommended treatment for Raynaud's phenomenon is to avoid exposure to cold temperatures.
    7. What medication is recommended for renal crisis?, The medication recommended for renal crisis is IECA.
    8. How can esophageal complications be treated?, Esophageal complications can be treated by treating reflux.
    9. What is the recommended treatment for alveolite?," The recommended treatment for alveolite is antibiotic therapy with oxacilin and ceftriaxone, if there is doubt about its gonococcal origin."
    10. What is the definition of Sjögren's syndrome according to the text?,"  Sjögren's syndrome, also known as ""Síndrome Seca"", is a disease that results from the infiltration of salivary and lacrimal glands by lymphocytes."
1. What is the Sjögren's syndrome also known as?," The Sjögren's syndrome is also known as ""Síndrome Seca"" or ""Dry Syndrome""."
    2. What are the two types of Sjögren's syndrome?, The two types of Sjögren's syndrome are primary and secondary.
    3. What is the ratio between men and women in primary Sjögren's syndrome?, The ratio between men and women in primary Sjögren's syndrome is 9M : 1H.
    4. What are some differential diagnoses for Sjögren's syndrome?,"  Some differential diagnoses for Sjögren's syndrome include Syndrome anticolinérgica (dryness) caused by tricyclic or anti-histamines, sarcoidosis, and infection by HIV/HCV."
    5. What are the clinical manifestations of xeroftalmia?," Xeroftalmia is characterized by dry eyes (xerophthalmia) and can present with keratoconjunctivitis sicca, ulceration, and Staphylococcal blepharitis. It may also involve ocular manifestations such as painful exophthalmos due to granulomatous retro-orbital inflammation, pseudotumor of the orbit, episcleritis, cutaneous vasculitis with palpable purpura, and cutaneous ulcers or nodules. Ophthalmological findings include keratoconjunctivitis sicca, which may be associated or not with xerostomia, and retinal vasculitis causing blindness due to ischemia or hemorrhage, as evidenced by cotton wool spots on fundoscopy."
    6. What are the clinical manifestations of xerostomia?," Xerostomia is a symptom of Sjögren's syndrome, and its clinical manifestations include dental cavities (caries), bad breath (halitosis), and difficulty swallowing (dysphagia)."
    7. When should lymphoma of the parotids be excluded in cases of Sjögren's syndrome?, In cases where there are palpable nodes.
    8. What is the phenomenon of Raynaud?," The phenomenon of Raynaud is episodic vasospasm of small digital arteries, characterized by a triphasic change in finger color from paleness to cyanosis and then to redness. It is more characteristic of scleroderma and is present in 30% of cases of LES (localized scleroderma)."
    9. What is interstitial lung disease?," Interstitial lung disease (ILD) is a group of disorders that affect the lungs' air sacs (alveoli). In these conditions, the tissue between the air sacs becomes inflamed and thickened, making it difficult for oxygen to reach the bloodstream. This can lead to shortness of breath and other symptoms.

Explanation: The context provided mentions ""Doença pulmonar intersticial / fibrose intersticial"" which translates to ""interstitial lung disease / interstitial fibrosis"". It also discusses the manifestations of pulmonary involvement in certain conditions, such as lupus pneumonitis and pulmonary fibrosis. These are examples of interstitial lung diseases, where inflammation and thickening of the tissue between the air sacs impair oxygen exchange."
